feature,coefficient,abs_coefficient
Outlet_Type_Grocery Store,-1095.8705357871918,1095.8705357871918
Item_MRP,984.5130739465161,984.5130739465161
Outlet_Identifier_OUT027,710.8575173052857,710.8575173052857
Outlet_Type_Supermarket Type3,710.8575173052856,710.8575173052856
Outlet_Identifier_OUT010,-640.8603317424622,640.8603317424622
Outlet_Identifier_OUT019,-455.01020404472877,455.01020404472877
Outlet_Type_Supermarket Type1,336.7466052517145,336.7466052517145
Item_Type_Seafood,308.8885956240087,308.8885956240087
Outlet_Identifier_OUT035,221.58208324180973,221.58208324180973
Outlet_Identifier_OUT045,-180.53763663998973,180.53763663998973
Outlet_Identifier_OUT046,178.00349297374984,178.00349297374984
Outlet_Identifier_OUT049,143.78408238946145,143.78408238946145
Outlet_Establishment_Year,-133.67994589649578,133.67994589649578
Outlet_Location_Type_Tier 1,-133.22262868151802,133.22262868151802
Item_Type_Dairy,-124.94755489633312,124.94755489633312
Outlet_Size_Medium,122.17144254565966,122.17144254565966
Outlet_Location_Type_Tier 2,81.7058446049934,81.7058446049934
Outlet_Size_High,-66.74681471649019,66.74681471649019
Outlet_Identifier_OUT013,-66.74681471649016,66.74681471649016
Item_Type_Soft Drinks,-58.09827577096869,58.09827577096869
