feature,importance
Item_MRP,0.5538382098042882
Outlet_Type_Grocery Store,0.313939525971684
Outlet_Type_Supermarket Type3,0.061383893267542046
Outlet_Identifier_OUT027,0.0456950559331535
Outlet_Establishment_Year,0.02075141904284065
Item_Visibility,0.001988396102731052
Outlet_Type_Supermarket Type1,0.00045773941545706364
Item_Type_Fruits and Vegetables,0.00023272576873524962
Outlet_Identifier_OUT018,0.00022611328108171507
Item_Type_Household,0.00018246038749453517
Item_Type_Soft Drinks,0.0001652994452639355
Item_Weight,0.00015761699749227456
Item_Type_Frozen Foods,0.00013031671120308073
Outlet_Type_Supermarket Type2,0.0001268382636518541
Item_Type_Starchy Foods,0.00010215690706675918
Item_Type_Hard Drinks,9.786410130756811e-05
Item_Type_Meat,8.918313886538325e-05
Item_Type_Health and Hygiene,7.724801935265497e-05
Item_Type_Dairy,7.070491518798447e-05
Outlet_Identifier_OUT046,3.5132175358974285e-05
